number,species,type_primary,type_secondary,name_1,name_2,family,family_order,hp,attack,defense,sp_attack,sp_defense,speed
371,Klefki,Steel,Fairy,Klef,ki,371,1,57,80,91,80,87,75
372,Talonflame,Fire,Flying,Talon,flame,417,3,78,81,71,74,69,126
373,Mimikyu,Ghost,Fairy,Mimi,kyu,373,1,55,90,80,50,105,96
374,Volcarona,Bug,Fire,Volca,rona,419,2,85,60,65,135,105,100
375,Deino,Dark,Dragon,Dei,no,375,1,52,65,50,45,50,38
376,Zweilous,Dark,Dragon,Zwei,lous,375,2,72,85,70,65,70,58
377,Hydreigon,Dark,Dragon,Hydre,igon,375,3,92,105,90,125,90,98
378,Latias,Dragon,Psychic,Lati,as,378,1,80,80,90,110,130,110
379,Latios,Dragon,Psychic,Lati,os,379,1,80,90,80,130,110,110
380,Deoxys,Psychic,,Deo,xys,380,1,50,150,50,150,50,150
381,Jirachi,Steel,Psychic,Jira,chi,381,1,100,100,100,100,100,100
382,Nincada,Bug,Ground,Nin,cada,382,1,31,45,90,30,30,40
383,Bibarel,Normal,Water,Bi,barel,294,2,79,85,60,55,60,71
384,Riolu,Fighting,,Rio,lu,384,1,40,70,40,35,40,60
385,Slakoth,Normal,,Sla,koth,385,1,60,60,60,35,35,30
386,Vigoroth,Normal,,Vigo,roth,385,2,80,80,80,55,55,90
387,Wailmer,Water,,Wail,mer,387,1,130,70,35,70,35,60
388,Shinx,Electric,,Shi,inx,388,1,45,65,34,40,34,45
389,Luxio,Electric,,Lu,xio,388,2,60,85,49,60,49,60
390,Aron,Steel,Rock,A,ron,390,1,50,70,100,40,40,30
391,Lairon,Steel,Rock,Lai,ron,390,2,60,90,140,50,50,40
392,Trapinch,Ground,,Trap,inch,392,1,45,100,45,45,45,10
393,Vibrava,Ground,Dragon,Vibra,va,392,2,50,70,50,50,50,70
394,Feebas,Water,,Fee,bas,394,1,20,15,20,10,55,80
395,Bagon,Dragon,,Ba,gon,395,1,45,75,60,40,30,50
396,Shelgon,Dragon,,Shell,gon,395,2,65,95,100,60,50,50
397,Klink,Steel,,Klink,ink,397,1,40,55,70,45,60,30
398,Klang,Steel,,Klan,ang,397,2,60,80,95,70,85,50
399,Zorua,Dark,,Zo,rua,399,1,40,65,40,80,40,65
400,Budew,Grass,Poison,Bud,dew,400,1,40,30,35,50,70,55
401,Roselia,Grass,Poison,Rose,lia,400,2,50,60,45,100,80,65
402,Drifloon,Ghost,Flying,Drif,loon,402,1,90,50,34,60,44,70
403,Buneary,Normal,,Bun,eary,403,1,55,66,44,44,56,85
404,Shroomish,Grass,,Shroom,ish,404,1,60,40,60,40,60,35
405,Shuppet,Ghost,,Shup,pet,405,1,44,75,35,63,33,45
406,Solosis,Psychic,,Solo,sis,406,1,45,30,40,105,50,20
407,Duosion,Psychic,,Duo,sion,406,2,65,40,50,125,60,30
408,Cottonee,Grass,Fairy,Cotton,nee,408,1,40,27,60,37,50,66
409,Sandile,Ground,Dark,San,dile,409,1,50,72,35,35,35,65
410,Krokorok,Ground,Dark,Kroko,rok,409,2,60,82,45,45,45,74
411,Yamask,Ghost,,Ya,mask,411,1,38,30,85,55,65,30
412,Joltik,Bug,Electric,Jol,tik,412,1,50,47,50,57,50,65
413,Ferroseed,Steel,Grass,Ferro,seed,413,1,44,50,91,24,86,10
414,Axew,Dragon,,Ax,ew,414,1,46,87,60,30,40,57
415,Fraxure,Dragon,,Fra,xure,414,2,66,117,70,40,50,67
416,Golett,Ground,Ghost,Go,lett,416,1,59,74,50,35,50,35
417,Fletchling,Normal,Flying,Fletch,ling,417,1,45,50,43,40,38,62
418,Fletchinder,Fire,Flying,Fletch,inder,417,2,62,73,55,56,52,84
419,Larvesta,Bug,Fire,Lar,vesta,419,1,55,85,55,50,55,60
420,Stunfisk,Ground,Electric,Stun,fisk,420,1,109,66,84,81,99,32
421,Sableye,Dark,Ghost,Sabl,eye,421,1,50,75,75,65,65,50
422,Venipede,Bug,Poison,Veni,pede,422,1,30,45,59,30,39,57
423,Whirlipede,Bug,Poison,Whirli,pede,422,2,40,55,99,40,79,47
424,Scolipede,Bug,Poison,Scoli,pede,422,3,60,100,89,55,69,112
425,Tyrunt,Rock,Dragon,Ty,runt,425,1,58,89,77,45,45,48
426,Tyrantrum,Rock,Dragon,Tyran,trum,425,2,82,121,119,69,59,71
427,Snorunt,Ice,,Sno,runt,427,1,50,50,50,50,50,50
428,Glalie,Ice,,Gla,lie,427,2,80,80,80,80,80,80
429,Froslass,Ice,Ghost,Fros,lass,427,3,70,80,70,80,70,110
430,Oricorio Baile,Fire,Flying,Ori,corio Baele,430,1,75,70,70,98,70,93
431,Oricorio Pom-Pom,Electric,Flying,Ori,corio Pom-Pom,431,1,75,70,70,98,70,93
432,Oricorio Pa'u,Psychic,Flying,Ori,corio Pa'u,432,1,75,70,70,98,70,93
433,Oricorio Sensu,Ghost,Flying,Ori,corio Sensu,433,1,75,70,70,98,70,93
434,Trubbish,Poison,,Trub,bish,434,1,50,50,62,40,62,65
435,Garbodor,Poison,,Garb,odor,434,2,80,95,82,60,82,75
436,Carvanha,Water,Dark,Car,vanha,436,1,45,90,20,65,20,65
437,Sharpedo,Water,Dark,Sharp,edo,436,2,70,120,40,95,40,95
438,Phantump,Grass,Ghost,Phant,tump,438,1,43,70,48,50,60,38
439,Trevenant,Grass,Ghost,Tre,venant,438,2,85,110,76,65,82,56
440,Noibat,Flying,Dragon,Noi,bat,440,1,40,30,35,45,40,55
441,Noivern,Flying,Dragon,Noi,vern,440,2,85,70,80,97,80,123
442,Swablu,Normal,Flying,Swab,lu,442,1,45,40,60,40,75,50
443,Altaria,Dragon,Flying,Alta,ria,442,2,75,70,90,70,105,80
444,Goomy,Dragon,,Goo,my,444,1,45,50,35,55,75,40
445,Sliggoo,Dragon,,Sli,goo,444,2,68,75,53,83,113,60
446,Goodra,Dragon,,Goo,dra,444,3,90,100,70,110,150,80
447,Regirock,Rock,,Regi,rock,447,1,80,100,200,50,100,50
448,Regice,Ice,,Regi,ice,448,1,80,50,100,100,200,50
449,Registeel,Steel,,Regi,steel,449,1,80,75,150,75,150,50
450,Necrozma,Psychic,,Necro,zma,450,1,97,107,101,127,89,79
451,Stufful,Normal,Fighting,Stuff,ful,452,1,70,75,50,45,50,50
452,Bewear,Normal,Fighting,Be,wear,452,2,120,125,80,55,60,60
453,Dhelmise,Ghost,Grass,Dhelm,helmise,454,1,70,131,100,86,90,40
454,Mareanie,Poison,Water,Mar,eanie,455,1,50,53,62,43,52,45
455,Toxapex,Poison,Water,Tox,apex,455,2,50,63,152,53,142,35
456,Hawlucha,Fighting,Flying,Hawl,lucha,457,1,78,92,75,74,63,118
457,Cacnea,Grass,,Cac,nea,458,1,50,85,40,85,40,35
458,Cacturne,Grass,Dark,Cact,turne,458,2,70,115,60,115,60,55
459,Sandygast,Ground,Ghost,Sandy,gast,460,1,55,55,80,70,45,15
460,Palossand,Ground,Ghost,Palo,sand,460,2,85,75,110,100,75,35
461,Amaura,Rock,Ice,Ama,aura,462,1,77,59,50,67,63,46
462,Aurorus,Rock,Ice,Auro,rorus,462,2,123,77,72,99,92,58
463,Rockruff,Rock,,Rock,ruff,464,1,45,65,40,30,40,60
464,Lycanroc Midday,Rock,,Lycan,roc Midday,464,2,75,115,65,55,65,112
465,Lycanroc Midnight,Rock,,Lycan,roc Midnight,464,3,85,115,75,55,75,82
466,Meloetta Aria,Normal,Psychic,Melo,etta Aria,466,1,100,77,77,128,128,90
467,Meloetta Pirouette,Normal,Fighting,Melo,etta Pirouette,467,1,100,128,90,77,77,128
468,Cresselia,Psychic,,Cress,elia,468,1,120,70,120,75,130,85
469,Bruxish,Water,Psychic,Brux,ish,469,1,68,105,70,70,70,92
470,Ultra Necrozma,Psychic,Dragon,Ultra Necro,zma,470,1,97,167,97,167,97,129
471,Jangmo-o,Dragon,,Jang,mo-o,471,1,45,55,65,45,45,45
472,Hakamo-o,Dragon,Fighting,Haka,mo-o,471,2,55,75,90,65,70,65
473,Kommo-o,Dragon,Fighting,Kom,mo-o,471,3,75,110,125,100,105,85
474,Wimpod,Bug,Water,Wim,pod,474,1,25,35,40,20,30,80
475,Golisopod,Bug,Water,Golis,pod,474,2,75,125,140,60,90,40
476,Fomantis,Grass,,Fom,antis,476,1,40,55,35,50,35,35
477,Lurantis,Grass,,Lur,antis,476,2,70,105,90,80,90,45
478,Carbink,Rock,Fairy,Car,bink,478,1,50,50,150,50,150,50
479,Chespin,Grass,,Ches,pin,479,1,56,61,65,48,45,38
480,Quilladin,Grass,,Quill,adin,479,2,61,78,95,56,58,57
481,Chesnaught,Grass,Fighting,Ches,naught,479,3,88,107,122,74,75,64
482,Fennekin,Fire,,Fenn,ekin,482,1,40,45,40,62,60,60
483,Braixen,Fire,,Brai,xen,482,2,59,59,58,90,70,73
484,Delphox,Fire,Psychic,Del,phox,482,3,75,69,72,114,100,104
485,Froakie,Water,,Froa,kie,485,1,41,56,40,62,44,71
486,Frogadier,Water,,Frog,adier,485,2,54,63,52,83,56,97
487,Greninja,Water,Dark,Gre,ninja,485,3,72,95,67,103,71,122
488,Torkoal,Fire,,Tor,koal,488,1,70,85,140,85,70,20
489,Pumpkaboo,Ghost,Grass,Pump,kaboo,489,2,44,66,70,44,55,56
490,Gourgeist,Ghost,Grass,Gour,geist,489,3,65,90,122,58,75,84
491,Swirlix,Fairy,,Swir,lix,491,1,62,48,66,59,57,49
492,Slurpuff,Fairy,,Slur,puff,491,2,82,80,86,85,75,72
493,Scraggy,Dark,Fighting,Scra,ggy,493,1,50,75,70,35,70,48
494,Scrafty,Dark,Fighting,Scra,fty,493,2,65,90,115,45,115,58
495,Lotad,Water,Grass,Lo,tad,495,1,40,30,30,40,50,30
496,Lombre,Water,Grass,Lom,bre,495,2,60,50,50,60,70,50
497,Ludicolo,Water,Grass,Ludi,colo,495,3,80,70,70,90,100,70
498,Minior,Rock,Flying,Min,ior,498,1,60,60,100,60,100,60
499,Minior Core,Rock,Flying,Min,ior Core,499,1,60,100,60,100,60,120
500,Diancie,Rock,Fairy,Dian,cie,500,1,50,100,150,100,150,50
501,Luvdisc,Water,,Luv,disc,501,1,43,30,55,40,65,97
